,Country,Page Code,League Name,League Division,Link
102,Indonesia,68,Liga 2,2.0,https://www.transfermarkt.com/liga-2/startseite/wettbewerb/ILI2
103,Iran,71,Persian Gulf Pro League,1.0,https://www.transfermarkt.com/persian-gulf-pro-league/startseite/wettbewerb/IRN1
104,Ireland,72,Premier League,1.0,https://www.transfermarkt.com/premier-league/startseite/wettbewerb/IR1
105,Ireland,72,First Division,2.0,https://www.transfermarkt.com/first-division/startseite/wettbewerb/IR2
106,Ireland,72,President's Cup,3.0,https://www.transfermarkt.com/presidents-cup/startseite/wettbewerb/IRPC
107,Israel,74,Ligat ha'Al,1.0,https://www.transfermarkt.com/ligat-haal/startseite/wettbewerb/ISR1
108,Israel,74,Liga Leumit,2.0,https://www.transfermarkt.com/liga-leumit/startseite/wettbewerb/ISR2
109,Israel,74,Aluf haAlufim,3.0,https://www.transfermarkt.com/aluf-haalufim/startseite/wettbewerb/IRLP
110,Italy,75,Serie A,1.0,https://www.transfermarkt.com/serie-a/startseite/wettbewerb/IT1
111,Italy,75,Serie B,2.0,https://www.transfermarkt.com/serie-b/startseite/wettbewerb/IT2
112,Italy,75,Serie C - B,3.0,https://www.transfermarkt.com/serie-c-girone-b/startseite/wettbewerb/IT3B
113,Japan,77,J1 League,1.0,https://www.transfermarkt.com/j1-league/startseite/wettbewerb/JAP1
114,Japan,77,J2 League,2.0,https://www.transfermarkt.com/j2-league/startseite/wettbewerb/JAP2
115,Japan,77,J3 League,3.0,https://www.transfermarkt.com/j3-league/startseite/wettbewerb/JAP3
116,Kazakhstan,81,Premier Liga,1.0,https://www.transfermarkt.com/premier-liga/startseite/wettbewerb/KAS1
117,Kazakhstan,81,Pervaya Liga,2.0,https://www.transfermarkt.com/pervaya-liga/startseite/wettbewerb/KAS2
118,Kazakhstan,81,Kubok Kazakhstana,3.0,https://www.transfermarkt.com/kubok-kazakhstana/startseite/wettbewerb/KAZP
119,"Korea, South",87,K League 1,1.0,https://www.transfermarkt.com/k-league-1/startseite/wettbewerb/RSK1
120,"Korea, South",87,K League 2,2.0,https://www.transfermarkt.com/k-league-2/startseite/wettbewerb/RSK2
121,"Korea, South",87,K3 League,3.0,https://www.transfermarkt.com/k3-league/startseite/wettbewerb/K3L
122,Kosovo,244,Superliga e Kosovës,1.0,https://www.transfermarkt.com/superliga-e-kosoves/startseite/wettbewerb/KO1
123,Kyrgyzstan,90,Shoro Premier Liga,1.0,https://www.transfermarkt.com/shoro-premier-liga/startseite/wettbewerb/KG1L
124,Kyrgyzstan,90,Kirgisischer Pokal,2.0,https://www.transfermarkt.com/kirgisischer-pokal/startseite/wettbewerb/KGPO
125,Laos,91,Lao League 1,1.0,https://www.transfermarkt.com/lao-league-1/startseite/wettbewerb/LAO1
126,Latvia,92,Virsliga,1.0,https://www.transfermarkt.com/virsliga/startseite/wettbewerb/LET1
127,Latvia,92,1.Liga,2.0,https://www.transfermarkt.com/1-liga/startseite/wettbewerb/LET2
128,Lebanon,94,Premier League,1.0,https://www.transfermarkt.com/lebanese-premier-league/startseite/wettbewerb/LIB1
129,Liechtenstein,97,FL-Cup,1.0,https://www.transfermarkt.com/liechtensteiner-cup/startseite/wettbewerb/LIEP
130,Lithuania,98,A Lyga,1.0,https://www.transfermarkt.com/a-lyga/startseite/wettbewerb/LI1
